name	type	purchase_stage	purchase_amount	purchase_volume	last_purchase_date	consult_count
육군훈련소 지구병원	광역시도 및 중앙기관	COLD	1680000	1200	2023-09-06	0
화순전남대학교병원	초중고	COLD	1650000	700	2023-01-17	9
서울시청	광역시도 및 중앙기관	COLD	1570000	2000	2024-08-30	17
17사단의무대대	광역시도 및 중앙기관	파트너	1550000	5724	2025-04-14	7
3사단 의무대	광역시도 및 중앙기관	구매	1500000	600	2025-07-30	0
달서구중독관리통합지원센터	전문기관	COLD	1500000	600	2023-10-23	2
이천시보건소	보건소	구매	1473000	1302	2026-02-10	15
진주보건소, 맥선	보건소	COLD	1413000	900	2024-11-15	0
울릉군보건의료원	보건소	재구매	1410000	602	2025-11-13	10
서귀포의료원	광역시도 및 중앙기관	재구매	1380000	600	2026-03-25	0
경상남도광역정신건강복지센터	전문기관	재구매	1333000	1908	2025-11-26	5
영진전문대학	초중고	COLD	1320000	800	2023-08-30	1
마포구정신건강복지센터	전문기관	구매	1275000	550	2025-10-14	10
건강생활팀	보건소	COLD	1260000	600	2024-04-02	1
대전서구중독관리통합지원센터	전문기관	구매	1260000	600	2025-11-13	5
연수구중독관리통합지원센터	전문기관	구매	1260000	600	2025-07-25	20
시흥시보건소	보건소	COLD	1256000	800	2022-07-28	43
양천구보건소	보건소	구매	1256000	800	2025-09-18	15
영암군보건소	보건소	COLD	1250000	500	2024-05-03	13
화순전남금연지원센터	금연지원센터	COLD	1250000	500	2023-10-05	4
원주시보건소	보건소	COLD	1250000	500	2024-05-20	9
대전세종금연지원센터	금연지원센터	구매	1250000	500	2025-06-27	2
완주군정신건강복지센터	전문기관	COLD	1247400	810	2022-05-03	6
국민건강의료기	산업보건	COLD	1170000	1200	2024-11-18	12
부안보건소	보건소	구매	1146000	600	2025-06-11	0
대구달서구보건소	보건소	COLD	1080000	1002	2022-10-20	3
2601부대	광역시도 및 중앙기관	COLD	1056000	640	2023-10-18	0
용인 3개구 보건소	보건소	구매	1050500	550	2025-05-13	0
동작구정신보건복지센터	전문기관	COLD	1050000	500	2024-09-06	14
옹진군정신건강복지센터	전문기관	COLD	1050000	500	2022-06-08	2
광주남구보건소	보건소	COLD	1050000	500	2023-11-17	2
강동구보건소	보건소	COLD	1050000	500	2023-06-20	23
김포시정신건강복지센터	전문기관	COLD	1050000	500	2023-10-31	4
제주광역 정신건강복지센터 중독통합관리팀	전문기관	COLD	1050000	500	2023-12-15	1
서산시보건소	보건소	구매	1050000	500	2025-05-01	7
오산시보건소	보건소	COLD	1050000	500	2022-11-28	26
서초구보건소마음건강센터	보건소	COLD	1050000	500	2024-02-19	0
춘천시보건소	보건소	구매	1050000	500	2026-03-16	14
구미중독관리통합지원센터	전문기관	구매	1050000	500	2025-12-15	3
[육군]66보병사단 의무대	광역시도 및 중앙기관	구매	1050000	502	2025-09-02	3
남양주동부보건센터	보건소	COLD	1050000	1	2024-10-31	0
울산중구중독관리통합지원센터	전문기관	COLD	1050000	500	2022-12-12	16
김포시보건소	보건소	COLD	1000000	400	2023-07-05	32
서울시통합건강증진사업지원단	광역시도 및 중앙기관	구매	1000000	400	2025-09-30	27
서울중구보건소	보건소	재구매	1000000	1503	2025-08-27	4
국군강릉병원	광역시도 및 중앙기관	COLD	990000	386	2024-10-08	8
파주시중독관리통합지원센터	전문기관	재구매	987500	1413	2025-12-22	19
대구수성구보건소	보건소	구매	981250	625	2025-08-20	10
서구보건소	보건소	COLD	979000	550	2025-02-28	5
제주대학교	대학보건센터	구매	960000	1200	Fri Jun 10 2022 00:00:00 GMT+0900 (한국 표준시)	0
60사단 의무대	광역시도 및 중앙기관	재구매	959700	1038	2025-10-20	7
국립정신건강센터 정신건강사업과	전문기관	구매	955000	500	2025-09-22	1
선산보건소	보건소	구매	955000	500	2026-01-14	23
중구보건소	보건소	구매	955000	1000	2025-09-11	4
구미시보건소	보건소	구매	955000	501	2025-10-22	3
구미건강생활지원센터	보건소	구매	955000	501	2025-11-11	0
포항보건소	보건소	구매	955000	500	2025-11-10	0
포항북구보건소	보건소	구매	955000	500	2025-12-08	8
국군수도병원	광역시도 및 중앙기관	구매	930000	250	2025-11-04	4
보건소	보건소	구매	902400	320	2025-06-04	769
국민건강보험공단 김제지사	광역시도 및 중앙기관	구매	901500	600	2026-01-30	19
서울신목초등학교	초중고	COLD	900000	300	2023-12-05	2
제주중독관리통합지원센터	전문기관	구매	900000	360	2025-12-02	4
영주시보건소	보건소	COLD	890000	500	2024-05-13	4
강진군보건소	보건소	구매	890000	500	2026-02-13	31
경기도중독관리센터	전문기관	구매	890000	500	2025-07-04	52
광주 광산중독관리통합지원센터	전문기관	구매	890000	500	2025-09-15	2
아산시중독관리통합지원센터	전문기관	COLD	890000	500	2025-02-26	0
군산시중독관리통합지원센터	전문기관	COLD	880000	1002	2022-07-27	1
인천중구보건소	보건소	COLD	867500	1506	2022-09-22	16
충북광역정신건강복지센터	전문기관	구매	863500	550	2025-11-25	0
보령시보건소	보건소	구매	862600	380	2025-10-14	33
바이플러스,김제시보건소	보건소	COLD	841500	600	2024-12-13	19
60사단	광역시도 및 중앙기관	COLD	830000	602	2022-08-29	0
달성군보건소	보건소	재구매	810000	906	2025-05-26	83
완도해양경찰서	광역시도 및 중앙기관	COLD	800000	400	2024-06-17	3
수성구보건소	보건소	COLD	785000	500	2024-09-19	2
증평군보건소	보건소	COLD	785000	500	2023-03-15	2
경상국립대학교 예방의학교실	전공교육	COLD	784300	607	2024-07-12	3
육군사관학교 군부대	광역시도 및 중앙기관	COLD	780000	301	2023-11-09	23
괴산군보건소	보건소	구매	771800	340	2025-11-19	5
대구광역정신건강복지센터	전문기관	COLD	750000	300	2023-04-20	1
수도방위사령부	광역시도 및 중앙기관	COLD	750000	302	2023-08-10	10
GC녹십자 건강관리실	산업보건	COLD	750000	301	2025-02-05	2
세종특별자치시광역정신건강복지센터	전문기관	COLD	750000	300	2022-11-14	3
제8기동사단 의무대	광역시도 및 중앙기관	COLD	750000	300	2022-11-07	0
장흥군정신건강복지센터	전문기관	COLD	750000	300	2022-11-14	0
한국보훈복지의료공단 광주보훈병원	광역시도 및 중앙기관	구매	750000	302	2025-09-30	0
5733부대 60사단 의무대	광역시도 및 중앙기관	COLD	750000	300	2023-09-18	0
한양대학교 학생지원팀 한양보건센터	초중고	구매	750000	300	2025-08-28	4
달서구보건소	보건소	COLD	750000	300	2024-05-21	14
충남 서산시보건소	보건소	COLD	750000	300	2024-05-27	13
용인시중독관리통합지원센터	전문기관	구매	750000	0	2026-03-20	0
육군사관학교 의무대대	광역시도 및 중앙기관	COLD	750000	300	2024-11-25	4
국군홍천병원	광역시도 및 중앙기관	COLD	710000	702	2022-10-28	5
대구한의대학교 보건학부	전공교육	구매	700000	400	2025-05-13	2
무주군보건의료원	보건소	구매	656000	200	2025-11-06	4
강서구정신건강복지센터	전문기관	COLD	636000	600	2024-04-25	8
75사단 의무대	광역시도 및 중앙기관	COLD	630000	402	2024-10-17	0
국군고양병원	광역시도 및 중앙기관	COLD	600000	200	2022-07-29	4
설천중·고등학교	초중고	구매	600000	201	2025-06-11	0
국군포천병원 외래간호과	광역시도 및 중앙기관	구매	600000	201	2025-11-19	1
울산동구정신건강복지센터	전문기관	COLD	600000	230	2024-05-10	42
종로구보건소	보건소	COLD	600000	230	2024-09-12	13
동국대학교사범대학부속고등학교	초중고	구매	590000	316	2025-04-03	4
덕양구보건소	보건소	구매	561000	300	2025-10-22	9
아산시보건소 중독관리통합지원센터	전문기관	COLD	534000	300	2025-03-19	0
전주호성중학교	초중고	구매	526200	159	2026-03-23	2
판촉사랑->국군강릉병원으로	산업보건	COLD	510000	200	2025-03-05	52
유성여자고등학교	초중고	COLD	501000	270	2023-10-27	1
강원과학고등학교 보건실	초중고	COLD	486000	135	2023-08-30	17
영진전문대학교	대학보건센터	구매	480000	600	Fri Nov 22 2024 00:00:00 GMT+0900 (한국 표준시)	0
예산덕산중학교	초중고	구매	459000	180	2025-05-30	0
청양정산중학교	초중고	COLD	459000	150	2024-12-03	0
육군제2062부대	광역시도 및 중앙기관	구매	450000	150	2025-06-23	1
